,0
0,0.008709202520549297
1,0.0024178065359592438
2,0.001684226910583675
3,0.0013845498906448483
4,0.0012011233484372497
5,0.0010879416950047016
6,0.001018898794427514
7,0.0009416629909537733
8,0.0008665703935548663
9,0.0008090074989013374
10,0.000748899532482028
11,0.000733562745153904
12,0.000696509494446218
13,0.0006413345690816641
14,0.0006332545890472829
15,0.0006211890140548348
16,0.0005934608052484691
17,0.0005658884765580297
18,0.000541370187420398
19,0.000527596625033766
20,0.0005254849675111473
21,0.0005105146556161344
22,0.0004888167604804039
23,0.00047279472346417606
24,0.00048499141121283174
25,0.00045484647853299975
26,0.0004656770615838468
27,0.00044465699465945363
28,0.0004421744670253247
29,0.0004334876430220902
30,0.0004349291557446122
31,0.00040375423850491643
32,0.00041705352487042546
33,0.0004053685406688601
34,0.00040734518552199006
35,0.0003946986689697951
36,0.0003759086539503187
37,0.00036812477628700435
38,0.00036290372372604907
39,0.0003536187286954373
40,0.0003708721196744591
41,0.0003641126968432218
42,0.00033643789356574416
